id,name,user,sunk,built,built_details,description,construction,owner,size,sinking,location,underwater,region,latitude,longitude,image,caption,museum_link,dave_link
255,Dato,1,1893,1872,"1872 By Acteselskabet ‘Dato’ in Ekenas, Finland",Brigantine two masts with one deck,Timber,,494 ton  length 40.6m beam 9.6m depth 5.1m,"A gale struck from the north-east during the morning of Monday 27 February 1893. This increased in ferocity during the day, changing direction to northerly around 4.00 p.m. The strongest winds and highest seas seen in the area for twenty years drove the Dato ashore north-west of the jetty. The vessel lost its mainmast and came to rest about a kilometre offshore, where it was later condemned as a wreck.","Quindalup, later Careening Bay, Garden Island",The Wreck lies within the Navy operations area and special permit required to visit,PC,-32.23614,115.692514,,,,
256,Conference,1,1904,1855,"1855 by Layleur and Co of Warrington, Lancaster, England",Three-masted Barque,Wood with iron framework,"Thomas J Parker, Melbourne James Huddair, Geelong John Phaill, Geelong",422 tons gross  length 165ft  beam 26ft depth 16ft,Tug Urailda proceeded 20 miles up the coast from Fremantle with old hulk Conference. Several holes being punched into her hull and She being allowed to drift onto the reef,On outside  reef opposite Burns  Beach,,MW,-31.67141667,115.6606667,,,,
257,Lalla,1,1917,1874,"1874 by J O’Brien, Maccan, Nova Scotia",3 Masted Barque,Timber,"George Fredrick Gallop of Fremantle WA. At Messer Learmonth and Co.’s rooms in Henry Street, Fremantle yesterday the Barque Lalla was submitted to Auction and sold for £370 to Mr. G. P. Gallop.",1070 tons length 183.7ft beam 37.1ft depth 20.9,Registry cancelled as the vessel was towed to sea and totally destroyed by gunfire from H.M.A.S. BRISBANE on the 18/8/1917. Advice given by District Naval Officer.Another report gave: That the tow line broke and a search was mounted by the tug Alacrity and HMAS Brisbane for a few days without success.,"Marmion Beach and possibly out on main reef, not yet discovered",Iron knees and some timber exists amongst rocks along the beach south of Marmion Angling Club. More wreckage is still possibly out on main reef and not yet discovered,PC,-31.839459,115.750094,,,,
258,Dugong,1,1892,?,"circa 1894 by Henry Passmore, the officer in charge of the convict camp, and his son, George, with the assistance of a Chinese carpenter and some of the convicts. Built from bush-hewn timber and scrap by an assortment of men associated with the convict camp on the Canning, the Dugong was used to deliver supplies from Perth and Fremantle for the Dredge Black Swan.","Steam powered paddle Lighter with donkey boiler, engine & winch",Wood,Public Works Department,20m length 3.9m beam,"Before being abandoned the Dugong was stripped of the boiler, engine, winch and paddles.","Bull’s  Creek, Canning River","The remains of the Dugong lie in shallow water with the tops of the frames, stem and stern post showing above water only at very low tides.",SW,-32.04551,115.860471,,,,
259,Ville De Rouen,1,1901,1891,"1891 by Atel & Chant de la Loire, St Nazaire, France",4 masted Barque,Steel,Prentout Leblond and E. Boniface of Rouen Master: Captain Bathelweld Hume,1303 tons length 66.9m beam 10.5m draft 6.4m,"En route from Cardiff to Fremantle with crew of 17 with cargo of Coke, firebricks and iron.  Struck the reef that now bears its name some 4.8km off mouth of the Moore River. Visibility was restricted due to bright moonlight being reflected off a heavy mist.",4.8 km from the Moore River on the Ville de Rouen Reefs.,"The wreck is within the reef at a depth of 7–9 m. The hull and topsides still visible, with masts and spars lying near the stern. A stockless anchor, anchor chain, donkey boiler, two-cylinder steam winch and many other artefacts are also on site.",MW,-31.3592,115.44805,,,,
260,Rapid,1,1811,1807,"By Nathaniel Thomas in 1807 in Braintree, near Boston, USA",American China Trader 3-Masted Ship,Timber,"Andrew Ritchie, Captain: Henry Dorr and 20 crew",366 tons length 31.7m beam 8.7m draft 4.3m,"Rapid departed Boston for Canton on 28 September 1810, but was wrecked on 98th day of voyage.  The next day, a storm was raging and crew set fire to the ship sacrificing everything, including the 280,000 silver dollars being carried on board.   The captain and crew returned to the wreck site on the ship ‘Meridian’ and organised recovery of the majority of the coins – leaving some 20,000 coins in situ.",Ningaloo Reef off  Pt Cloates,7m depth Anchor and large rock ballast covering keel and some timbers,MW,-22.739438,113.692643,,,,
261,Cervantes,1,1844,1836,"1836 Bathe, Maine USA","Whaling Brig with one deck, square stern, converted to Bark rig in 1841",Timber,"Benjamin Brown, Jonathon Coit, Amos Willetts,  Master: Sylvanus Gibson",232 tons length 30m beam 7.5m draft 3.5m,"The Cervantes was anchored while crew hunting for seals when a gale blew up. Before they could make sail, the ship was driven onto a sand-bar. The crew all got ashore and three of them arrived in Perth on 6 July to report the loss.  On 9th July, the master and more crew arrived, they reported one man had been left along the way and another six crew had returned to the wreck site to get a boat and sail down. Initially the captain said there was little damage but as the keel had broken it was decided to sell the ship.",Approx. 0.5 n mile WSW of Thirsty Point. Cervantes,"The wreck lies in 2–3m of water.  During the first wreck inspection various materials were collected and analysed to identify the wrecked vessel. The same survey discovered some north-west pearling shell, which indicated that the Cervantes must have travelled further north and gathered shell long before the industry commenced in mid 1860’s. Why were these shells here?",MW,-30.513366667,115.05,,,,
263,Magnolia,1,1938,1930,Originally built in England. Brought out in sections and assembled in Botany Bay as fast sailing yacht before being acquired as fishing vessel,Sailing Yacht converted to fishing boat,Timber and Iron,Winter Brandt and Co.,Length 17.70m beam 3.80m draft 3.10m,Although the sea was breaking heavily over the reef where the boat went aground it was comparatively calm. The skipper and two crew escaped in the dinghy saving sails and gear. They then walked 7 miles to Gnarloo Station. Carrying cargo – 800 to 900 lb Lady Schnapper fish.,Between Red Bluff and Gnaraloo,"lying in 1-2 metres of water and consisting of iron keel sections, iron ribs, chain, 2 small Admiralty type anchors, various windlasses. Sections of lead keel to be found further out to sea.",MW,-23.833333333,113.516666667,,,,
264,Marten,1,1878,1871,"1871 by Robert Kennedy at Yarra, Victoria",Two-masted Schooner,Timber,Browse Island Guano Company of Adelaide. Master: Captain Alexander Dewar,27.5 tons length 15.4m beam 4.7m draft 1.7m,"The Marten struck the reef on the east coast of Pelsaert Island on the Houtman Abrolhos on the night of 4 March 1878 at about 11 p.m. After landing on the island three of the crew were left in charge of the wreck while the master and the other two rowed the ship’s boat to Geraldton to seek help, arriving on 13 March. When they returned it was to find the schooner’s starboard bilge badly holed, the keel and false keel gone and the rudder broken.","The site of the wreck of the Marten is the same as that for the Ben Ledi, wrecked the following year. The site is about 7 km north of Wreck Point on the east side of Pelsaert Island in the Houtman Abrolhos.",This site has never been found. It is treated as a composite with Ben Ledi,MW,-28.93687,113.969225,,,,
265,Mary Queen Of Scots,1,1855,1843,"1843 in Sunderland, Liverpool",3-masted Barque,Timber  sheathed yellow metal,Thomas Sleddon  Master: Captain Buxey,256 tons length 28.7 beam 6.6m draft 4.7m,"En route from Fremantle to Singapore with cargo of horses and lead ore, 34 passengers and 13 crew.  Foundered on a sand bank, with anchor dragging, in a gale off Port Gregory.  All crew and horses were saved.",Port Gregory,"The wreck has not been located, but a magnetic anomaly  found in line with a large anchor on the reef, may possibly be the location of the wreck. Presently buried by the shifting sands within Port Gregory.",MW,-28.196498,114.25079,,,,
266,Stefano,1,1875,1873,1873  by G. Brazzoduro at Port Fiume (Rijeka) Croatia,3 Masted Barque,Timber,Nikola Bacic and Co. Captain: Vlaho Miloslavic,858 tons length 51.9m beam 10m draft 6.3m,"On route to Hong Kong with a load of coal from Cardiff the Stefano struck Ningaloo Reef in a storm, 7 crew were drowned, the remainder made shore on wreckage and upturned boats.",Point Cloates on reef 6km from shore,"At 3.5m depth, wreckage including anchors and iron knees remain scattered in shallow gullies. Most timber and spars  washed up on shore and later seen by early explorers.",MW,-22.826883333,113.721183333,,,,
267,Zeewijk,1,1727,1725,"1725 by Rammekens, Netherlands",Dutch East India Trader,Timber,VOC  Master: Jan Steins,850 tons length 40.6m,"En route from Vlissingen to Batavia with a cargo 10 chests of silver, gold coins and general cargo and a crew of 212, when she was lost off Gun Island. 72 died when she was wrecked.","Houtman Abrolhos, Gun Island","The Zeewijk did not break up immediately and goods, including the treasure chests, were transferred to Gun Island. It was obvious to the crew the ship could never be floated from its position locked into the reef.",MW,-28.8838,113.8134,,,,
268,Zvir,1,1902,1900,"1900 by Priestman & Co. Sunderland, UK",Screw Steamer,Steel,Society in Azioni Urgara Croata per la Nar Libera. Master: Ivan Randic,2103 tons length 100.2m beam 14.2m draft 7.7m,"En route from Java to Port Adelaide with cargo of sugar. Total cargo worth $50,000 was lost. Crew of 21 all survived.  Ship initially grounded with extensive damage and swell breaking over decks. Two weeks later steam lighter Beagle still unable to get alongside.  Vessel abandoned",Outside reef north of Point Cloates,"Extensive wreckage at 10m depth includes boilers, rudder, engine and sections of iron hull. The wreck site was discovered by divers in 1978 and considered to be one of best dive sites in the area.",MW,-22.609166667,113.626,,,,
269,Iris,1,1855,?,Probably at New Bedford USA,3 Masted Barque,Timber with 2 decks and square stern,"E C Jones, New Bedford Master: C.S. Davak (Devoll)",311 tons length 29.6m beam 8.4m draft 5m,"En route from New Bedford on a Whaling voyage with crew of 29. The Iris anchored at Port Gregory, having sprung a leak. Captain Devoll wished to careen his ship and needed a sheltered anchorage at Port Gregory. However a NW gale blew up, and the Iris was blown ashore on the sand spit opposite Gold Digger Passage. ",9 Km South of Ledge Point,"After being wrecked and written off at Port Gregory, the Iris was later salvaged and taken to Fremantle, repaired and registered there as the Frances on 7 September 1856.",MW,-28.183608,114.237515,,,,
270,Norwegian Bay Barges,1,1950,?,Unknown,Barges for Whaling Station,Steel/Iron,Norwegian Bay Whaling Co,Unknown,Possibly after Whaling Station abandoned in 1956,100m off-shore from Whaling Station,There are two identical barges about 30m apart in 3m of water. Good snorkel/diving with abundance of fish-life around the barges.,MW,-22.592436,113.670572,,,,
271,Ocean Queen,1,1842,1831,"By J. Langborne and Co.1831 in Whitby, UK",Barque,Timber,Robert Brooks   Captain: Harrington,286 tons,"On 10 July 1840 was badly damaged when it struck a reef at Flinders Island Bass Strait, while on a voyage from London to Launceston and was subsequently repaired. The Ocean Queen was bound from Launceston to Bali in ballast and carried a chest of specie and 18 crew.","Half Moon Reef, Pelsaert Group, Houtman Abrolhos",The wreck of the Ocean Queen lies on Half Moon Reef between the Zeewijk and Windsor wreck sites.  A trail of ballast stones lies about 20 m inshore of the wave line across the reef top to the lagoon.,MW,-28.969736,113.8969,,,,
272,SS Xantho,1,1872,1848,"1848 by William Denny and Company, Dumbarton, Scotland","Screw Steamer, Schooner-rigged (was a Paddle Steamer)",Iron,Charles Edward Broadhurst Master: Captain Denicke,6144 tons length 34.7m beam 5.4m draft 2.6m,"En route from Port Gregory to Fremantle with a cargo of lead ore. Overloaded, its hull badly corroded and its deck planking opened by the sun, Xantho began to take on water. Returning to Port Gregory it struck a sandbar and sank.",Port Gregory,"Located in 5m depth. Depending on tides and sand movement the wreck can completely covered. Forgotten until 1979 when, with the aid of local fishermen, the wreck was located by the Maritime Archaeological Association of Western Australia.",MW,-28.186526667,114.236225,,,,
275,Zuytdorp,1,1727,1701,"1701 by VOC in Zeeland probably Vlissingen, Netherlands",Dutch East India Trader,Timber,VOC  Master: Marinus Wijsvliet,500 tons length 148.6ft breadth 37.1ft depth 15.8ft,"En route from Wielingen to Batavia with approx 200 passengers and crew, a rich cargo including 248,000 silver coins and general cargo.  Hit reef and cliff-face, crew and passengers believed to have survived.","On reef at base of cliffs, 62km north of Murchison River",This is the only wreck site where permission is required to dive in WA with protected zone 500m around wreck. (Hazardous conditions apply – only few days per year where diving is possible),MW,-27.186114167,113.936453417,,,,
276,Key Biscayne,1,1983,1972,1972 by Marathon Le Tourneau Offshore (PTE) Singapore,Jack-up Drilling Rig,Steel,Key International Drilling Co,2738 ton  length 61.8m beam 51.2m draft 6.7m,En route from Darwin to Fremantle with 52 crew being towed by two tugs struck a severe storm and tow lines parted and Rig sank. All crew were airlifted by helicopter to safety,19 km NW Ledge Point and 20km SW of Lancelin,The rig is now a popular diving site in  41m water. The depth allows a short bounce dive to the bottom of rig with slow decompression on the way up. Usually good visibility and abundance of fish life make an interesting dive,MW,-31.168758,115.193259,,,,
277,Rex,1,1943,?,Unknown,Fishing Boat,Timber,"Luigi Pittorino,  Master John Petterson",14m Length,"En route from Geraldton on a fishing expedition. When icebox full, the vessel headed for Fremantle but lost its propeller and drifted onto a reef near Lancelin Island, was wrecked and sank. The crew used the dinghy to get ashore and then walked south before getting a message to police at Gingin.",Reef near Lancelin Island In the passage at north end of island 0.5 mile offshore,Wreck not found,MW,-31.001317,115.317871,,,,
278,Irene,1,1926,?,Unknown,Fishing Boat,Fishing Boat,James Mackey   Master: J Mackay,length 8.5m beam 2.1m,En route from Fremantle to Carnarvon.  Sheltered from storms for 6 days at Green Island.  After getting underway – about 3-4 kms north of Green Island the rudder was carried away. This was near the outer reef and the boat then foundered some 200m offshore.,3-4 kms North Green Island – 200m off-shore,Wreck Not Found,MW,-30.596527,115.096971,,,,
279,Jessie Edwards,1,1883,?,"1883 by Fred Jones, Fremantle (Also built Annie Agnes)",Pearling Cutter,Timber,Charlie Edwards of Geraldton Master Richard Gryffid Johns,33 tons,"En route from Fremantle to Shark Bay on delivery voyage. Five months later a wreck full of sand was discovered on the beach at the south end of Jurien Bay. It was identified as the Jessie Edwards, split down the centreline and the mast was broken off.",On beach south end of Jurien Bay,Wreck not found,MW,-30.311167,115.023506,,,,
280,Jon Jim,1,1961,?,Unknown,Small Fishing Freezer Boat,Timber,Master: Jim  Roberts,36.6 tons,"The skipper, having set a course for Wreck Point expecting to miss it due to bad  weather, conditions, miscalculated, leading to the ship running hard aground against the cliff where it now lies.","Pelsaert Island, Wreck Pt",Seen by Green & Sledge July 1974 The wreck  lies between a small islet now named Jon Jim Island and  Wreck Point on the main island itself.,MW,-28.986064,113.962254,,,,
281,Korean Star,1,1988,1984,1984 in Panama,Cargo Ship with diesel engine,Steel,Green Spanker Shippings S.A. Master: Gim Jong Du,"18,639 tons length 165.6m beam 26mdraft 14.8m","En route from Hong Kong to Cape Cuvier to load Salt with crew of 19.  Torn in half during cyclone, wrecked and sunk.  All crew were rescued.",Cape Cuvier,Wreckage now rusting away on top of reef,MW,-24.214021,113.419339,,,,
282,Maid Of Lincoln,1,1891,1885,1885 by Henry Crawford at Port Lincoln SA,Steamer Schooner rigged,Timber one deck 2 masts,"Symon, Hammond & Hubble Master William Millar",32 tons length 22.4m beam 4.7m draft 2.0m,En route from Abrolhos to Bunbury via Fremantle with crew cargo of Guano,Reef 8 miles South of Jurien Bay off Hill River,Wreck not found,MW,-30.425073,114.997643,,,,
283,Planet,1,1890,1876,"1876/77 by Robert Howson, Fremantle",2-masted Schooner,Timber,W Lakey  Master Charles Morgan,64.8 tons length 22.2m beam 5.0m draft 2.4m,"En route from Cossack to Fremantle with general cargo and grain.      During the night a storm blew up and the pin came out of the shackle on the mooring. The schooner was washed onto the rocks about 100m north of the jetty, but only 6 packages of cargo saved. All crew were taken to Fremantle by the steamer Rob Roy.",Port Irwin (Port Denison),Wreck Not Found,MW,-29.261687,114.920311,,,,
284,Premier,1,1873,1869,1869 by Charles Watson at his yard in Perth,2-masted Schooner,Timber Jarrah,John Brockman,84 tons length 22.9m beam 5.5m draft 2.4m,"En route from Fremantle to Port Irwin with cargo of telegraph poles The weather was too rough tie alongside the jetty, and two anchors were put down but a strong NW wind caused it to drag the anchors. Despite letting go a third anchor the increasing wind drove it onto rocks near the shore in 2m of water.",Port Denison,"All the telegraph posts were recovered. Julius Brockman, brother of the owner, later recovered an anchor chain, anchor and some tarpaulins. Wreck not found",MW,-29.259695,114.91879,,,,
285,Sea Prince,1,1932,1890,"1890 by A Stephen & Sons, Dundee, Scotland",Fishing Lugger,Timber,F Placanica  Master Tony Placanica,length 12.2m,"Sea Prince dragged its anchor and washed ashore on the east coast of Beagle Island. The cabin and part of the deck were found on the beach 1km from Dongara. Wreckage was identified by local fishermen. Crew were later found safe, and taken to Geraldton by the fishing boat Clare.",Beagle Island Dongara,Wreckage not found,MW,-29.808504,114.88511,,,,
286,Venus,1,1923,1897,"1897 by Robert Howson, in Fremantle",Single screw Steamer,Timber,"F J, H J & F A Ball  Master F J Ball",63 tons length 22.5m beam 5.7m draft 2.1m,"En route from Fremantle (via Rottnest Island to pick up two crewmen making total of 6), to Abrolhos on a lobster fishing venture. Struck by huge seas, two crew swept overboard, and engine damaged. Gradually blown ashore.",9km South of Ledge Point,"The wreck is almost bow on to the beach. The boiler is one of the few artefacts always visible. Due to constant filling and scouring of sand the remainder of the wreck is occasionally visible, together with frames and hull planking and a few other artefacts.",MW,-31.177941667,115.398566667,,,,
287,Zeewijk Longboat,1,1727,1725,"Rammekens, Netherlands",Longboat,Timber,VOC,,"En route from Gun Island, a rescue group of eleven of the fittest survivors and First Mate set off for Batavia in the longboat on 10 July, but were never heard of again. Believed to have sunk north of the Abrolhos islands",North of Abrolhos,Wreck not found,MW,-28.1471,113.547709,,,,
288,Occator,1,1856,1853,1853 Prince Edward Island,Brigantine,Timber with Iron,G. and R. Barclay    	Captain: Place,145 tons length 27.2m beam 6.2m draft 3.5m,"En route from Melbourne for Mureon Island near Exmouth with crew of 9 cargo in ballast About 55 km south from the cape, the ship ran onto Ningaloo reef, The wreck of the Occator has not yet found, it is believed to be situated at Carbaddaman Passage near Yardie Creek",Around 55 kilometres south of the Cape at Carbaddaman Passage,"In June 2004 Mr Albert Gorman reported an acquaintance finding an iron knee 10 feet long by 6 inches wide by 3 inches deep, with a ‘bronze fastening at the ‘drop off’ north of Yardie Creek.",MW,-21.885591,113.970807,,,,
289,Lubra,1,1898,1860,"1860 by Lawrence Hill & Co., Glasgow, Scotland",Two-masted Schooner with 50hp engine,Iron,Adelaide Steamship Company  Master: Arthur Denyer,223 tons length 44.8m beam 6.7m draft 3.2m,"En route from Geraldton  to Fremantle with 17 crew and cargo of Flour, General cargo","On Boiler reef, 5km from Jurien Bay jetty","In 7m depth, the site is subject to considerable breaking surf and strong surge in most conditions",MW,-30.301933333,114.998183333,,,,
290,Mayhill,1,1895,1890,"1890 by A Stephen & Sons, Dundee, Scotland",4-masted Barque,"Iron and steel. There were two decks, the upper deck being sheathed with wood.",W H Myer of Liverpool  Master: Captain Hume,2947 tons length 89m beam 12.5m draft 7.7m,"En route from Middleborough, England to Geraldton carrying 2 ,947 tons of railway line for the Mullewa to Cue railway. Strong gale blowing in high seas and struck a reef.  28 Crew all rescued.","In 5m of water on Point Moore Reefs, 400m south-east of the entrance to the deep water channel into Geraldton Harbour.","The wreck site is largely flattened with only a few sections of the hull projecting above the sea floor, the vessel’s floors are still evident, and part of the cargo of railway lines is visible. It is accessible only on days with low to moderate swell,",MW,-28.765,114.57,,,,
291,Sara,1,1856,1855,"1855 by William Owston at Point Preston, Swan River",2-masted Schooner,Timber,William Oston Master: Henry Christians,54 tons length 16.9m beam 5.6m draft 2.7m,"En route from Fremantle to Port Gregory, with cargo of oil and copper ore.  After loading, was being towed out by 3 whale-boats when a heavy swell set it on a shoal patch between the Passages. All efforts to salvage failed.","Mid-way between Gold Digger Passage and Hero Passage, Port Gregory",Wreck not found,MW,-28.187023,114.234277,,,,
292,Scotchman,1,1919,?,Unknown,Fishing Boat,Timber,Peter Fortunado,Unknown,"Vessel at anchor when storm hit and anchor chain broke. She was driven ashore onto a sandy beach where all crew reached shore safely. They walked 32kms towards Dongara, were rescued and then taken on to Moora.","Vicinity of Green Islands. The vessel was owned and skippered by Peter Fortunado. There were two crew, Giovanni Faneli and Giovanni De Palmo. The vessel was valued at £800 and was not insured.",Wreck not found,MW,-30.675302,115.139028,,,,
293,Shunsei Maru,1,1931,?,Unknown,Cargo Ship,Steel,Tomamokosoji Master: K. Iida,3083 tons,"En route from Java to Melbourne, crew of 43, cargo of wheat. Ran aground about 10 nautical miles north of Point Cloates.  Sent distress signals to nearby Chofuko Maru, who also ran aground, caught fire and sank.","Carbaddaman Passage, north of Point Cloates",A channel was blasted into reef and the Shunsei Maru was later salvaged. The anchors and chain used to recover the vessel still remain to mark the site of stranding,MW,-22.510363,113.686905,,,,
294,SS Mildura,1,1907,1901,"1901 by J. Reid & Co Ltd, Whiteinch, Glasgow",Steel Screw Steamer,Steel,Australasian United Steam Navigation Co. Ltd. Master: Charles Albert Thorpe,2217 tons length 91.5m beam 12.8m draft 4.3m,"Struck a rock, on the outer reef at the tip of North West Cape. It then ran up onto the shallows, where it remained hard aground. En route from Wyndham to Fremantle carrying 481 Bullocks – most perished. All crew reached shore safely.  Master of Mildura was found guilty of neglect and suspended for 3 months.",Exmouth North West Cape,"Although the wreck is plainly visible offshore, it is not a recommended dive",MW,-21.784092,114.167735,,,,
295,Villalta,1,1897,1883,1883 by Reid and Co at Glasgow,3-masted Barque,Riveted steel,Nicholson and McGill of Liverpool  Master Whiting Harland,906 tons length 60.8m beam 10.0m draft 6.2m,"En route from Tacoma, Puget Sound with a crew of 18 and cargo of timber for Fremantle. Struck reef and sank quickly. The Captain and an apprentice drowned","The wreck lies about 60m from shore, approximately 3km south of Seabird and 1km south of Cape Leschenault.","Part of the stern is still visible above water, and the rest lies scattered to a depth of about 4.5m. The wreckage includes a windlass, hull plating, steel mast, winch, rudder shaft, bitts, fairleads, bricks and other scattered artefacts.",MW,-31.298408333,115.456016667,,,,
296,Warren,1,1930,?,Unknown,Fishing Lugger,Timber,"Antonio Schank, Crew: K. Rosenberg, R. Faarenheimo",Unknown,"Owner, with a crew of two men, were attempting to reach the shelter of Ledge Point, as bad weather was approaching with very heavy sea running.   Lugger struck reef and remained stranded. All crew reached shore.",On reef 3 miles south of Ledge Point 100m from shore,Wreck not yet found,MW,-31.154914,115.377858,,,,
297,Wild Wave,1,1875,1858,1858 at Fremantle,Two-masted Pearling Schooner,"Timber built as ketch, 1864 converted to schooner",Aubrey Brown and Charles Gill  Master: Watson,28 tons length 15.4m beam 4.6m draft 2m,"Ran aground in Cyclone. Owner, Master and 28 Malays drowned.  One white man and 13 natives rescued by other ships in the area. Reported Herald  29 January1876.","Exmouth on a reef at the bottom of the Gulf, east side",Wreck not yet Located,MW,-22.423322,114.353703,,,,
298,Oleander,1,1884,1861,"1861 by Haswell in Sunderland, UK",Barque,Timber,Alfred Rixen & Co  Captain: James Joass,353 tons length 35.7m beam 8.3m draft 5.2m,En route from Shark Bay to Hamburg with cargo of Guano. In heavy seas vessel began to leak and pumps could not cope.  Vessel was abandoned and sunk.  Crew manned boats and arrived on shore without loss of life.,48 Km off Wedge Island,Lost in deep water.  Wreck never been found,MW,-30.843686,114.602749,,,,
299,Sea Bird,1,1874,1865,1865 by unknown at Vasse,2-masted Schooner,Timber,Charles Crowther of Geraldton  Master: Charles Hanman,40 tons length 18.1m beam 15.1m draft 1.9m,"En route from Fremantle to Geraldton, departed Fremantle on 11 June 1874 with a general cargo an 10 passengers, the majority being ticket-of-leave men.",Moore River,"A wreck has been found in the shallows at the town of Seabird, very likely that of either Sea Bird or Sea Flower, (probably the former) These vessels lie very close to each other.",MW,-31.276778,115.438924,,,,
300,Sea Flower,1,1923,1886,"1890 by Alfred Pettree, Balmain, Sydney",2-masted Schooner,Timber,C.R. Cornish; W.A. Hancock & E.B. Stenning Master: Axel Hansen,66 tons length 22m beam 6.5m draft 2.9m,"Left Point Cloates on 12 September 1923, carrying a cargo of whale oil and guano, together with a crew of 5. A strong gale from the west blew up and buffeted the vessel for 4 days. It was then rolled by a mountainous wave some 4 miles from shore. Only one crew member survived.","Near Moore River, Cape Leschenault","A wreck has been found in the shallows at the town of Seabird, very likely that of either Sea Bird or Sea Flower, more probably the former. These vessels lie very close to each other.",MW,-31.276778,115.438924,,,,
301,SS Windsor,1,1908,1890,"1890 by W Gray & Co., Hartlepool UK","Screw Steamer, Blair engines",Iron with one deck,"Watts, Watts & Co., London  Master: J H Walters",1853 ton  length 95.9m beam 12.4m draft 6.3m,En route from Fremantle to Hong Kong with cargo of Sandalwood Crew of 37 with 5 drowned,"Abrolhos, West of Pelsaert Island","The site is subject to heavy seas and normally only accessible when there is little or no swell.  The Windsor’s iron boiler, reaches a height of 4m above the reef. There is wreckage of engine, rudder and propeller spread over the reef and in the lagoon beyond.",MW,-28.989513,113.93053,,,,
302,Leander,1,1853,1849,"1849 in New Brunswick, Canada",2-masted Brigantine,"Timber (Birch,pine and spruce) Iron fastened",Smith and Co. Master: Captain Johnston,173 tons,"En route from Fremantle to Champion Bay with general cargo and 5 passengers, crew of 23.  Wrecked and sunk due to Northerly storm.   After discharging the cargo it was to load ore at Port Gregory for Singapore","White Point, Irwin River, Dongara",Despite many searches the wreck of the Leander has not been found. There is strong evidence that the wreck site is near White Point as old charts show only this prominent sand patch. The coastline there appears to have moved up to 50m seaward over the years. ,MW,-29.261988,114.920883,,,,
303,Swan,1,1869,1865,1865 at Fremantle,2-masted Schooner,Timber,William Dalgety Moore  Master: Charles Peterson,24 tons length 17m beam 4.3m draft 1.7m,"En route from Fremantle to Irwin River, Port Denison, with 1 crew.  Struck reef, later completely breaking up.","Irwin Reef, Port Denison",Wreck not found,MW,-29.318415,114.865116,,,,
304,SS Perth,1,1887,1863,"1863 by Lawrence Hill & Co. Glasgow, Scotland",Passenger/Cargo Ship,"Iron with 2 compound engines, 80hp twin screws",Adelaide Steamship Company Master: Fred Parkes,499 tons length 58.5m beam 6.8m draft 3.8m,Hit Ningaloo Reef and sunk on sailing from Fremantle to Wyndham with passengers and cargo of general goods and 63 passengers,"Point Cloates, Ningaloo",Wreckage on top of reef,MW,-22.692466667,113.642266667,,,,
305,Saint Mary,1,1905,?,Unknown,Fishing Boat,Timber,Dongara Fisherman Unknown,Unknown,"En route from Fremantle to Geraldton, the Saint Mary hit Drummond Rock, a little over 1km south of Snag Islet. Crew of 3 reached shore, with 2 sailors walking to Dongara for assistance.  The owner stayed with wreck.","Drummond Rock, 60Kms South of Dongara",Wreckage of an early 20th century vessel has been found in 3m of water 10m SW of Drummond Rock. An excavation has been carried out and a number of artefacts recovered. It is possible that this is the wreck of Saint Mary.,MW,-29.951558,114.963821,,,,
306,Stanford,1,1936,1928,"1928  by Helsingors Jenskibs-og Maskinbyggeri, Denmark",Cargo Ship with diesel engine,Steel with two decks,J.B. Stang   Master: Carl Bech,4803 tons length 118.2m beam 16.5mdraft 7.9m,En route from Fremantle to Geraldton with cargo of Cement and Coal.  Crew of 31,"African Reef south of Geraldton, 12 mile South of Moore Point","The wreck of the Stanford is located on the central reef of the three reefs comprising the African Reef complex. It lies scattered in 5m of water, mainly on the seaward side of the reef. The reef is subject to dangerous breaking swells, NOTE: This wreck was used for target practice during World War II, and still may contain unexploded bombs.   ",MW,-28.968,114.619666667,,,,
307,SS Alkimos,1,1963,1943,"Bethlehem-Fairfield Shipyards,  Baltimore USA",Liberty Cargo Ship,Steel,Greek Shipping Co.Master: G. Kassotokis,7176 tons length 134m,"Under tow by Ocean tug bound for Manila was driven ashore and could not be refloated.  Refloated in January 1964  but the tug was seized by authorities and the Alkimos was left anchored. In May 1964, the vessel broke anchor and was driven onto the Eglinton Rocks ",North of Two Rocks,"The Wreck has now rusted away with only the engine left above water. At 3-5m depth, good diving subject to weather conditions.",MW,-31.61022395,115.654022333,,,,
308,Salmon Bay Unknown,1,?,?,,Unidentified engine and boiler,,,,"The Salmon Bay unidentified site. Diving a little known, unidentified site in 26 metres of water, located on the south side of Rottnest Island and listed on the WA Maritime Museum online wreck database.",,"Discovered by a member of the public and inspected by the museum in 2002. The site is located in deeper water around two miles off Salmon Bay. The site has very little visible wreckage on the small limestone reef besides a boiler of good condition, a propeller and shaft, and two unknown pieces of wreckage laying north east of the boiler. Possibly the remains of a vessel scuttled before its destination, on its way to the Deep Water Graveyard in the Rottnest Trench.",RI,-32.0295666667,115.5029,,,,
